id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10486984,Cheerful new renovated central apt,22766460,Begüm,,Beyoglu,41.03735,28.97477,Entire home/apt,394,3,111,2020-03-15,2.24,2,358
10495676,BEYLİKDÜZÜNDE LÜKS KONFORLU DAİRELR,54105157,Deluxe,,Esenyurt,41.02642,28.62551,Entire home/apt,339,1,0,,,1,364
10496251,Large room with closed balcony,54108906,Kürşat Serkan,,Sisli,41.05654,28.99675,Private room,122,1,0,,,1,365
10497299,MINUTES TO TAKSIM WITH POOL,54114198,Topenga,,Fatih,41.01535,28.95453,Entire home/apt,619,1,0,,,1,0
10509536,Flat with amazing view in Taksim,49477990,Tuce,,Beyoglu,41.03478,28.98874,Entire home/apt,372,7,6,2018-05-17,0.12,3,0
10517155,Galata dublex with seaview terraces,19247263,Yaşa,,Beyoglu,41.02684,28.97478,Entire home/apt,599,2,0,,,1,0
10523094,Compact & comfy flat in Cihangir,44264335,Tarik,,Beyoglu,41.03169,28.98554,Entire home/apt,136,2,80,2020-03-20,1.65,2,95
10525067,Boutique Home,54268354,Ali̇,,Fatih,41.0086,28.97395,Private room,307,1,0,,,1,365
10535233,Next to the Ayrılıkçeşme Marmaray,46715520,Irem,,Kadikoy,41.0002,29.03323,Entire home/apt,275,120,12,2017-09-17,0.23,1,0
10539269,Central retro house in cihangir,54348178,Şan,,Beyoglu,41.03114,28.98255,Entire home/apt,68,1,0,,,1,365
10558819,Spacious room in historic building,5620088,Dilek,,Beyoglu,41.02965,28.97494,Private room,205,2,8,2018-10-11,0.18,1,363
10560777,Habitable Atelier in Galata Beyoglu,54470322,Serkan,,Beyoglu,41.02763,28.97672,Entire home/apt,273,3,0,,,1,363
10561940,"LuxVilla PRV*, Vacation,Business,Seaview,Pool,Pine",46781287,Dragos Holiday,,Kartal,40.90674,29.14637,Entire home/apt,1820,1,17,2020-02-21,0.35,2,214
10562233,Wıth breakfast 5$Extra!,54478364,Hakan,,Beyoglu,41.03594,28.9847,Private room,89,1,0,,,2,365
10565589,Cosy Room in Kadıköy,50071427,Hakan,,Kadikoy,40.9923,29.04063,Private room,122,1,0,,,1,364
10566039,ernest,54494138,Ernest,,Avcilar,41.06135,28.71554,Private room,339,1,0,,,1,364
10572978,Mavi Haliç Apartments,54539981,Ömer Faruk,,Eyup,41.06599,28.94944,Entire home/apt,407,200,0,,,2,365
10579480,beautiful view over the Golden Horn,52205170,Mahmut,,Fatih,41.02937,28.95236,Private room,373,1,0,,,1,365
10583374,"",37972894,Gülşah,,Sisli,41.06439,28.98487,Private room,109,5,0,,,1,362
10584696,ROOM FORRENT NEAR THE FROM İN FATİH,54461502,Zeynep,,Fatih,41.01066,28.941,Private room,204,7,0,,,1,364
10584989,RESİDANCE,54607667,Deni̇z,,Esenyurt,41.02233,28.63833,Entire home/apt,1018,1,0,,,1,364
10587127,For foreign persons only,54620154,Onur,,Besiktas,41.0444,28.9977,Private room,69,1,1,2019-07-21,0.10,2,0
10587413,Akatlar(Etiler)1600tl mounthly room in classy area,54621193,Mitti,,Besiktas,41.08766,29.02638,Private room,88,1,0,,,2,363
10591613,studio en plein centre d'Istanbul.,1347828,Amedee,,Beyoglu,41.03367,28.98078,Entire home/apt,669,1,0,,,2,364
10592728,A nice and cozy room in Cihangir,54651592,Işıl,,Beyoglu,41.03049,28.98094,Shared room,259,2,1,2017-07-26,0.03,1,90
10601574,Penthouse at the heart of the city Cihangir Taksim,302361,Nurten,,Beyoglu,41.03371,28.98491,Entire home/apt,682,3,1,2017-06-14,0.03,3,350
10603791,A room in central of Kadıköy,54715078,Sinem,,Kadikoy,40.995,29.03169,Private room,205,1,0,,,1,365
10623680,Penthouse in center - 400mt to Taksim,5935545,Burak,,Beyoglu,41.04096,28.98097,Hotel room,259,1,0,,,4,359
10624010,Ciwan Suites (2 Adults + Kitchen),53702682,Ciwan,,Fatih,41.00429,28.96831,Private room,512,1,0,,,4,364
10624396,Deluxe Triple Room + Kitchen,53702682,Ciwan,,Fatih,41.00451,28.96687,Private room,587,1,0,,,4,365
10624449,"",54843727,Egemen,,Sisli,41.0556,28.98523,Private room,407,1,0,,,1,365
10624690,Deluxe Quadruple Room + Kitchen,53702682,Ciwan,,Fatih,41.00588,28.96883,Private room,539,1,0,,,4,365
10625682,Deluxe Family Suite + Kitchen,53702682,Ciwan,,Fatih,41.00592,28.96727,Private room,737,1,0,,,4,365
10626143,İstanbul Merkezde 3 Odalı Lüx Daire,54846134,Deniz,,Fatih,41.00705,28.95986,Entire home/apt,611,1,0,,,1,365
10629593,beşiktaş çarşı,54867509,Güney,,Besiktas,41.04506,29.00487,Private room,102,1,0,,,1,365
10633318,Luxury Apartment near Kanyon,54889509,Sinem,,Sisli,41.07916,29.0119,Entire home/apt,1222,1,0,,,1,365
10639317,"Kadiköy, Moda, close to transports",25679882,Bertille,,Kadikoy,40.98825,29.02588,Private room,172,1,0,,,1,0
10642338,perla suites rezidans dairesi,4258224,Tolga,,Pendik,40.93037,29.30618,Entire home/apt,183,1,46,2020-03-17,0.92,6,364
10646140,Kadıköy merkezde kiralık oda bayana,54971490,Hulya,,Kadikoy,40.99483,29.0252,Private room,205,1,0,,,1,365
10647349,Kınalıkeklik'te merkezi konumda oda,54978599,Mehmet,,Sisli,41.04462,28.98238,Private room,123,1,1,2018-10-05,0.05,1,365
10662035,BEŞİKTAŞ-ÇARŞI,55074534,Cha,,Besiktas,41.04941,29.00364,Private room,88,30,0,,,1,365
10668961,Cosy Loft in the heart of Istanbul,26915199,Funda,,Beyoglu,41.02941,28.97689,Entire home/apt,710,1,0,,,1,365
10669855,Comfort Double Room in Cihangir!,2541656,Başak,,Beyoglu,41.03153,28.98026,Private room,89,60,27,2020-01-31,0.51,11,355
10670045,Designer's Double Room w Balcony!,2541656,Başak,,Beyoglu,41.03291,28.98154,Private room,96,7,15,2020-01-25,0.32,11,343
10670358,Lovely Double Room in Cihangir!,2541656,Başak,,Beyoglu,41.03189,28.98069,Private room,82,4,10,2020-03-01,0.19,11,356
10678046,Kiralik oda,55151375,Mehmet,,Sisli,41.1237,29.01211,Private room,149,1,0,,,1,365
10682215,sadece bayan,51049270,Ayşegül,,Esenyurt,41.0147,28.64793,Shared room,28,1,0,,,1,0
10690873,1+1 in Beşiktaş & Bosphorus View,48042916,Emir,,Besiktas,41.04638,29.01083,Entire home/apt,197,1,5,2016-05-01,0.09,1,129
10693664,comfy room in a historic district,55246917,Ciwan,,Beyoglu,41.03867,28.98248,Private room,89,2,84,2020-03-12,1.68,2,90
10694137,"BOSPHORUS AND VIEW OF THE ""HISTORY""",45723682,Levent,,Uskudar,41.0223,29.01171,Entire home/apt,594,3,8,2019-09-03,0.22,2,362
10703339,A Palace Apartment Sisli Cevahir,55303472,Fatih,,Sisli,41.06125,28.98679,Entire home/apt,672,1,5,2018-05-26,0.14,4,149
10713402,Modern Flat in Akatlar,10468965,Murat,,Besiktas,41.08886,29.02763,Entire home/apt,536,30,0,,,1,362
10716655,"Single, cozy room central Istanbul",46483552,Begüm,,Sisli,41.04506,28.9804,Private room,102,1,2,2016-12-27,0.04,2,293
10716904,"SUNNY,SWEET AND LARGE ROOM IN MODA",32557960,Bahtışen,,Kadikoy,40.98727,29.02565,Private room,136,14,0,,,1,178
